author,paintname
Turner  Joseph Mallord William, Osimo from the Road from Ancona  with the Towers of the Palazzo Comunale and Cathedral
Turner  Joseph Mallord William, ?Osimo  with the Campanile of San Marco
Turner  Joseph Mallord William, Distant Hills in the Marche
Turner  Joseph Mallord William, ?Distant View of Recanati from Loreto
Turner  Joseph Mallord William, Buildings on Hill in the Marche
Turner  Joseph Mallord William, View of Loreto from the North; and two views of a tower ?in Villa Potenza
Turner  Joseph Mallord William, Loreto from the Bridge at Villa Musone
Turner  Joseph Mallord William, The Walls and Bastion of Loreto  with the Tower of the Palazzo Comunale; and a Distant View of ?Recanati
Turner  Joseph Mallord William, The Santuario della Santa Casa  Loreto  from Porta Marina; and a Distant View of Caldarola
Turner  Joseph Mallord William, The Valley of the Musone  near Loreto; and two Distant Views of Recanati
Turner  Joseph Mallord William, The Santuario della Santa Casa  Loreto  from the Scala Santa; and a view of Villa Potenza
Turner  Joseph Mallord William, Two views of the Aqueduct south of Loreto  with Recanati in the Distance
Turner  Joseph Mallord William, General View of Loreto from the South
Turner  Joseph Mallord William, Details and Inscriptions from the Santuario della Santa Casa and the Piazza della Madonna  Loreto
Turner  Joseph Mallord William, Piazza della Madonna  Loreto  with the Santuario della Santa Casa
Turner  Joseph Mallord William, Two Views from the road leaving Loreto  including the Aqueduct outside Recanati
Turner  Joseph Mallord William, Distant view of the Apennines from ?Loreto
Turner  Joseph Mallord William, Two Distant of Views of Recanati  Including the Aqueduct south of Loreto
Turner  Joseph Mallord William, Figures at a Fountain  beside the Aqueduct between Recanati and Loreto
Turner  Joseph Mallord William, Sketches of the Aqueduct between Loreto and Recanati; and the Castle of La Rancia  Just South of Macerata
Turner  Joseph Mallord William, Two Distant Views of Loreto from the South-West
Turner  Joseph Mallord William, Two Views of Recanati
Turner  Joseph Mallord William, View of Recanati from the West; and Two Sketches of the Roman Remains at Helvia Recina
Turner  Joseph Mallord William, Recanati from the East
Turner  Joseph Mallord William, Three Views between Recanati and Macerata including the Roman Remains at Helvia Recina
Turner  Joseph Mallord William, Macerata from the Road
Turner  Joseph Mallord William, Two Views of Macerata from the Road
Turner  Joseph Mallord William, Sketches of the Gateway and Castle of La Rancia  near Macerata
Turner  Joseph Mallord William, Macerata
Turner  Joseph Mallord William, Macerata
Turner  Joseph Mallord William, Sketches of Macerata  and the View from the Walls
Turner  Joseph Mallord William, ?Tolentino; and the Road towards the Apennine Mountains
Turner  Joseph Mallord William, ?Tolentino
Turner  Joseph Mallord William, Belforte del Chienti
Turner  Joseph Mallord William, Distant View of Tolentino from the River Chienti
Turner  Joseph Mallord William, Belforte del Chienti
Turner  Joseph Mallord William, Ruins in the Apennine Mountains near Campolarzo  probably the Rocca di Varano
Turner  Joseph Mallord William, Ruins in the Apennine Mountains near Campolarzo  probably the Rocca di Varano
Turner  Joseph Mallord William, In the Apennines  with Sketches of the Rocca di Varano
Turner  Joseph Mallord William, Three Sketches of the Rocca di Varano  near Camerino
Turner  Joseph Mallord William, Two Sketches of Serravalle di Chienti in the Apennine Mountains
Turner  Joseph Mallord William, Serravalle di Chienti in the Apennine Mountains
Turner  Joseph Mallord William, Serravalle di Chienti; and a Distant View of the Rocca di Varano
Turner  Joseph Mallord William, The Holy House inside the Santuario della Santa Casa  Loreto
Turner  Joseph Mallord William, Four Sketches in the Apennine Mountains
Turner  Joseph Mallord William, Two Views in the Apennine Mountains near Colfiorito
Turner  Joseph Mallord William, Buildings in the Apennine Mountains; ?Pale  near Foligno
Turner  Joseph Mallord William, Buildings in the Apennine Mountains; ?Pale  near Foligno
Turner  Joseph Mallord William, Four Sketches Amidst the Apennine Mountains
Turner  Joseph Mallord William, Descent from the Pass of the Apennines with Distant View of Foligno
Turner  Joseph Mallord William, Buildings in the Apennine Mountains; ?Pale  near Foligno
Turner  Joseph Mallord William, Buildings in the Apennine Mountains; ?Pale  near Foligno
Turner  Joseph Mallord William, The Church and Bridge of San Giacomo  Foligno  from across the River Topino
Turner  Joseph Mallord William, Piazza della Repubblica  Foligno  with the Cathedral and Palazzo Trinci
Turner  Joseph Mallord William, Sketches on the road between Foligno and Trevi; including the Torre di Matigge and the Castle of Sant’Eraclio
Turner  Joseph Mallord William, Sketches on the road from Foligno  including distant views of Trevi and Pissignano
Turner  Joseph Mallord William, Three Sketches of Foligno including the Piazza della Repubblica and two views of the Fifteenth-Century Gate
Turner  Joseph Mallord William, Sketches of Trevi  Pissignano and the Temple of Clitumnus
Turner  Joseph Mallord William, Pissignano and the Temple of Clitumnus  including Sketches of the Portico and Capitals
Turner  Joseph Mallord William, The Temple of Clitumnus with the Inscription on the Frieze; and Views of the Source of the Clitunno and San Giacomo
Turner  Joseph Mallord William, The Temple of Clitumnus  Looking up towards Pissignano
Turner  Joseph Mallord William, Two Sketches of the Temple of Clitumnus and Pissignano
Turner  Joseph Mallord William, Spoleto  from across the River Tessino near the Present-Day Ponte Garibaldi
Turner  Joseph Mallord William, Spoleto  from across the River Tessino near the Present-Day Ponte Garibaldi
Turner  Joseph Mallord William, The Rocca Albornoziana  Spoleto  from the Road to Rome
Turner  Joseph Mallord William, The Ponte delle Torri  Spoleto  from the Road to Rome; and a Street below the Torre dell’Olio
Turner  Joseph Mallord William, Spoleto  from near the Present-Day Ponte Garibaldi
Turner  Joseph Mallord William, The Ponte delle Torri  Spoleto from the Valley
Turner  Joseph Mallord William, The Rocca and the Cathedral  Spoleto  from near the Ponte delle Torri
Turner  Joseph Mallord William, Sketches of Spoleto from near the Present-Day Ponte Garibaldi
Turner  Joseph Mallord William, Two Sketches of Spoleto
Turner  Joseph Mallord William, Spoleto  from the Road to Rome  with San Pietro on the Right
Turner  Joseph Mallord William, Pass of the Somma  between Spoleto and Terni
Turner  Joseph Mallord William, Palazzaccio di Strettura  between Spoleto and Terni
Turner  Joseph Mallord William, Studies of Figures  at ?Terni
Turner  Joseph Mallord William, Buildings and a Fountain; ?Terni
Turner  Joseph Mallord William, The Cascata delle Marmore and the Valley of the Nar  from the Belvedere Superiore
Turner  Joseph Mallord William, The Cascata delle Marmore and the Valley of the Nar  from the Belvedere Superiore
Turner  Joseph Mallord William, Valley of the Nar from the Belvedere Superiore at the Cascata delle Marmore
Turner  Joseph Mallord William, Lake Piediluco  near Terni and the Cascata delle Marmore
Turner  Joseph Mallord William, Lake Piediluco  near Terni and the Cascata delle Marmore
Turner  Joseph Mallord William, In the Hills above the Cascata delle Marmore
Turner  Joseph Mallord William, In the Hills above the Cascata delle Marmore
Turner  Joseph Mallord William, In the Hills above the Cascata delle Marmore; and Two Views of the Santuario della Madonna del Ponte at Narni
Turner  Joseph Mallord William, View above Papigno with Distant View of Terni; also a Road amongst the Hills
Turner  Joseph Mallord William, Papigno with Distant View of Terni
Turner  Joseph Mallord William, Cascata delle Marmore and the Valley of the Nar
Turner  Joseph Mallord William, The Viewing Hut of Pius VI at the Cascata delle Marmore
Turner  Joseph Mallord William, Cascata delle Marmore and the Valley of the Nar
Turner  Joseph Mallord William, Part of the Cascata delle Marmore
Turner  Joseph Mallord William, Papigno  near Terni
Turner  Joseph Mallord William, Part of the Cascata delle Marmore; and a Distant View of Narni
Turner  Joseph Mallord William, ?Among the Hills near the Cascata delle Marmore
Turner  Joseph Mallord William, Terni
Turner  Joseph Mallord William, Blank
Turner  Joseph Mallord William, Cascata delle Marmore  from the Belvedere Inferiore
Turner  Joseph Mallord William, Cascata delle Marmore  from the Belvedere Inferiore
Turner  Joseph Mallord William, Cascata delle Marmore from the Belvedere Superiore
Turner  Joseph Mallord William, Cascata delle Marmore from the Belvedere Inferiore
Turner  Joseph Mallord William, Buildings and a Bridge  ?Terni
House  Gordon, Arcs with a Square
Turner  Joseph Mallord William, Buildings  ?Terni; and a View of Papigno
Turner  Joseph Mallord William, Narni from the East
Turner  Joseph Mallord William, Two Sketches of Narni with the Approach to the Porta Ternana
Turner  Joseph Mallord William, Narni from the East
Turner  Joseph Mallord William, View of the Western Edge of Narni  with the Monument and Inscription Commemorating the Building of the Mountain Road by Pope Pius VI
Turner  Joseph Mallord William, View across the Plain to the East of Narni  from near the Porta della Fiera
Turner  Joseph Mallord William, View across the Plain to the East of Narni  from near the Porta della Fiera
Turner  Joseph Mallord William, Bridge of Augustus and the Medieval Bridge  Narni
Turner  Joseph Mallord William, Bridge of Augustus  Narni
Turner  Joseph Mallord William, Two Views of Narni  from the Nera Gorge to the West
Turner  Joseph Mallord William, Part of the Bridge of Augustus  Narni
Turner  Joseph Mallord William, View from the Porta della Fiera  Narni  Looking across the Valley of the Nera
Turner  Joseph Mallord William, Part of the Bridge of Augustus  Narni  with the Monastery of San Cassiano
Turner  Joseph Mallord William, Narni  from the Valley to the North-East
Turner  Joseph Mallord William, Narni  from the Valley to the North-East  with the Medieval and Roman Bridges
Turner  Joseph Mallord William, Narni  from the Gorge to the North  with the Bridge of Augustus
Turner  Joseph Mallord William, Narni from the North-East  with the Medieval and Roman Bridges
Turner  Joseph Mallord William, Bridge of Augustus and the Medieval Bridge  Narni
Turner  Joseph Mallord William, Studies of the Medieval and Roman Bridges at Narni
Turner  Joseph Mallord William, The Medieval Bridge at Narni
Turner  Joseph Mallord William, The Medieval and Roman Bridges  Narni
Turner  Joseph Mallord William, The Forte Sangallo at Civita Castellana
Turner  Joseph Mallord William, ?View of the Nera Gorge near Narni
Turner  Joseph Mallord William, Narni  with the Rocca d’Albornoz and an inscription to Pius VI
Turner  Joseph Mallord William, Two Views of Narni from the South  with the Rocca Albornoz
Turner  Joseph Mallord William, Ponte Felice  near Borghetto
Turner  Joseph Mallord William, Three Views of Approaching the Ponte Felice near Borghetto
Turner  Joseph Mallord William, Views on the Road between Narni and Borghetto  including Otricoli  Ocriculum and the Ponte Felice
Turner  Joseph Mallord William, Two Distant Views of Borghetto and the Tiber Valley; and the Ponte Felice
Turner  Joseph Mallord William, The Ponte Felice and Borghetto
Turner  Joseph Mallord William, Borghetto
Turner  Joseph Mallord William, Borghetto from the South  with a Distant View of the Ponte Felice
Turner  Joseph Mallord William, Distant View of the Ponte Felice; and a Study of the Gorge at Civita Castellana
Turner  Joseph Mallord William, Borghetto from the South  with a Distant View of the Valley of the Tiber
Turner  Joseph Mallord William, Borghetto from the South  with a Distant View of the Ponte Felice and the Valley of the Tiber
Turner  Joseph Mallord William, Civita Castellana  from the Ponte Clementino
Turner  Joseph Mallord William, Civita Castellana  from the Ponte Clementino
Turner  Joseph Mallord William, Three Sketches of Civita Castellana; and one of the Rocca dei Borgia  Nepi
Turner  Joseph Mallord William, ?Civita Castellana
Turner  Joseph Mallord William, Forte Sangallo  from the gorge at Civita Castellana
Turner  Joseph Mallord William, Distant View of Nepi
Turner  Joseph Mallord William, Gate at ?Civita Castellana or Nepi
Turner  Joseph Mallord William, Bridge over the Ricano stream  near Civita Castellana
Turner  Joseph Mallord William, Civita Castellana with the Church of Santa Maria del Carmine
Turner  Joseph Mallord William, Blank
Turner  Joseph Mallord William, The Aqueduct  Nepi
Turner  Joseph Mallord William, Blank
Turner  Joseph Mallord William, Nepi  ?the Porta Romana and the Rocca dei Borgia
Turner  Joseph Mallord William, The Rocca dei Borgia  Nepi
Turner  Joseph Mallord William, Nepi from the North
Turner  Joseph Mallord William, Nepi from the North  with the Rocca dei Borgia and the Aqueduct
Turner  Joseph Mallord William, The Road leading into Nepi
Turner  Joseph Mallord William, Blank
Turner  Joseph Mallord William, A Cow
Turner  Joseph Mallord William, Blank
Turner  Joseph Mallord William, Distant View of Rome  from the Road to the North
Turner  Joseph Mallord William, A Medieval Tower on the Via Cassia near Rome
Turner  Joseph Mallord William, The Torre delle Cornacchie on the Via Cassia  North of Rome
Turner  Joseph Mallord William, Blank
Turner  Joseph Mallord William, Blank
Turner  Joseph Mallord William, Architectural Details at Foligno
Turner  Joseph Mallord William, Studies of Sculptures  ?Nepi
Turner  Joseph Mallord William, View on the Via Cassia with the Torre del Cornacchie and the distant dome of St Peter’s
